seqnames	start	end	width	strand	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr11	8664348	8664748	401	*	Promoter	11	8431652	8664535	232884	2	319939	ENSMUST00000020695.12	0	ENSMUSG00000020422	Tns3	tensin 3
chr16	91648100	91648500	401	*	Promoter	16	91647885	91679221	31337	1	20658	ENSMUST00000122302.7	216	ENSMUSG00000022961	Son	Son DNA binding protein
chr12	84408832	84409232	401	*	Promoter	12	84373875	84409029	35155	2	12499	ENSMUST00000110272.8	0	ENSMUSG00000021236	Entpd5	ectonucleoside triphosphate diphosphohydrolase 5
chr2	24935150	24935550	401	*	Promoter	2	24925352	24935163	9812	2	215705	ENSMUST00000102935.9	0	ENSMUSG00000026972	Arrdc1	arrestin domain containing 1
chr12	32015359	32015759	401	*	Intron (ENSMUST00000003079.11/19088, intron 2 of 11)	12	31958480	32060589	102110	2	19088	ENSMUST00000146865.1	44830	ENSMUSG00000002997	Prkar2b	protein kinase, cAMP dependent regulatory, type II beta
chr17	24141477	24141877	401	*	Promoter	17	24073680	24141595	67916	2	18607	ENSMUST00000102927.9	0	ENSMUSG00000024122	Pdpk1	3-phosphoinositide dependent protein kinase 1
chr3	69721800	69722200	401	*	Promoter	3	69721985	69724461	2477	1	97112	ENSMUST00000149680.7	0	ENSMUSG00000027787	Nmd3	NMD3 ribosome export adaptor
chr5	146303455	146303855	401	*	Distal Intergenic	5	146296365	146299512	3148	1	264064	ENSMUST00000160924.1	7091	ENSMUSG00000029635	Cdk8	cyclin-dependent kinase 8
chr2	32312216	32312616	401	*	Promoter	2	32310263	32312889	2627	2	13429	ENSMUST00000201440.1	273	ENSMUSG00000026825	Dnm1	dynamin 1
chr7	6194137	6194537	401	*	Distal Intergenic	7	6197090	6216137	19048	1	232836	ENSMUST00000037553.5	-2553	ENSMUSG00000034660	Galp	galanin-like peptide
chr16	11418279	11418679	401	*	Intron (ENSMUST00000180792.7/74478, intron 9 of 20)	16	11420708	11679349	258642	1	74478	ENSMUST00000150993.1	-2029	ENSMUSG00000071669	Snx29	sorting nexin 29
chr10	42276526	42276926	401	*	Promoter	10	42181841	42276752	94912	2	56484	ENSMUST00000105502.7	0	ENSMUSG00000048756	Foxo3	forkhead box O3
chr8	119861979	119862379	401	*	Promoter	8	119862266	119870716	8451	1	234796	ENSMUST00000212636.1	0	ENSMUSG00000031828	Klhl36	kelch-like 36
chrX	142681145	142681545	401	*	Promoter	20	142681406	142843494	162089	1	209497	ENSMUST00000112889.7	0	ENSMUSG00000047045	Tmem164	transmembrane protein 164
chr11	6562344	6562744	401	*	Exon (ENSMUST00000144293.1/216527, exon 2 of 2)	11	6561230	6596742	35513	1	216527	ENSMUST00000109721.2	1115	ENSMUSG00000000378	Ccm2	cerebral cavernous malformation 2
chr17	27520574	27520974	401	*	Promoter	17	27425907	27521403	95497	2	268934	ENSMUST00000231416.1	429	ENSMUSG00000063239	Grm4	glutamate receptor, metabotropic 4
chr5	142920708	142921108	401	*	Distal Intergenic	5	142903115	142906754	3640	2	11461	ENSMUST00000100497.10	-13955	ENSMUSG00000029580	Actb	actin, beta
chr8	4250581	4250981	401	*	Promoter	8	4250937	4251423	487	1	100044509	ENSMUST00000208029.1	0	ENSMUSG00000089736	Tgfbr3l	transforming growth factor, beta receptor III-like
chr11	8534882	8535282	401	*	Intron (ENSMUST00000239091.1/319939, intron 10 of 30)	11	8537539	8545351	7813	2	319939	ENSMUST00000131941.1	10069	ENSMUSG00000020422	Tns3	tensin 3
chr9	32539217	32539617	401	*	Intron (ENSMUST00000016231.13/14247, intron 1 of 8)	9	32422204	32541595	119392	2	14247	ENSMUST00000016231.13	1978	ENSMUSG00000016087	Fli1	Friend leukemia integration 1
chr10	39731332	39731732	401	*	Promoter	10	39622976	39731776	108801	2	327744	ENSMUST00000153261.7	44	ENSMUSG00000087177	E130307A14Rik	RIKEN cDNA E130307A14 gene
chr2	118029008	118029408	401	*	Intron (ENSMUST00000148587.7/329496, intron 7 of 9)	2	118069847	118111091	41245	2	329496	ENSMUST00000138764.1	81683	ENSMUSG00000087203	Gm13986	predicted gene 13986
chr8	27253680	27254080	401	*	Distal Intergenic	8	27228459	27250616	22158	2	11556	ENSMUST00000211346.1	-3065	ENSMUSG00000031489	Adrb3	adrenergic receptor, beta 3
chr17	27650146	27650546	401	*	Distal Intergenic	17	27655509	27708659	53151	1	23969	ENSMUST00000114873.7	-4963	ENSMUSG00000040276	Pacsin1	protein kinase C and casein kinase substrate in neurons 1
chr18	84087941	84088341	401	*	Promoter	18	84088063	84097528	9466	1	225791	ENSMUST00000060223.3	0	ENSMUSG00000049090	Zadh2	zinc binding alcohol dehydrogenase, domain containing 2
chr6	131290415	131290815	401	*	Promoter	6	131284665	131289676	5012	2	66441	ENSMUST00000174781.3	-740	ENSMUSG00000030188	Magohb	mago homolog B, exon junction complex core component
chr8	70527483	70527883	401	*	Promoter	8	70527724	70535328	7605	1	14232	ENSMUST00000119353.8	0	ENSMUSG00000019428	Fkbp8	FK506 binding protein 8
chr14	73048957	73049357	401	*	Promoter	14	73025785	73049114	23330	2	70086	ENSMUST00000226727.1	0	ENSMUSG00000033470	Cysltr2	cysteinyl leukotriene receptor 2
chr19	3934981	3935381	401	*	Promoter	19	3935186	3949339	14154	1	54445	ENSMUST00000165711.2	0	ENSMUSG00000036908	Unc93b1	unc-93 homolog B1, TLR signaling regulator
chr2	154656725	154657125	401	*	Promoter	2	154657018	154694785	37768	1	75608	ENSMUST00000044277.9	0	ENSMUSG00000038467	Chmp4b	charged multivesicular body protein 4B
chr9	124118492	124118892	401	*	Distal Intergenic	9	124121543	124132484	10942	1	12774	ENSMUST00000111442.2	-2651	ENSMUSG00000079227	Ccr5	chemokine (C-C motif) receptor 5
chr4	59340710	59341110	401	*	Intron (ENSMUST00000040166.13/634731, intron 12 of 16)	4	59329210	59333022	3813	2	634731	ENSMUST00000136562.1	-7689	ENSMUSG00000038578	Susd1	sushi domain containing 1
chr7	27507963	27508363	401	*	Promoter	7	27507806	27520041	12236	1	19153	ENSMUST00000065487.6	158	ENSMUSG00000053198	Prx	periaxin
chr10	75059348	75059748	401	*	Promoter	10	75060592	75184921	124330	1	110279	ENSMUST00000164107.2	-844	ENSMUSG00000009681	Bcr	BCR activator of RhoGEF and GTPase
chr15	93275183	93275583	401	*	Promoter	15	93241854	93275179	33326	2	223827	ENSMUST00000230063.1	-5	ENSMUSG00000036197	Gxylt1	glucoside xylosyltransferase 1
chr15	102742591	102742991	401	*	Distal Intergenic	15	102706777	102722178	15402	2	67488	ENSMUST00000023818.10	-20414	ENSMUSG00000023055	Calcoco1	calcium binding and coiled coil domain 1
chr1	172357545	172357945	401	*	Intron (ENSMUST00000056136.3/16513, intron 1 of 1)	1	172341210	172374085	32876	1	16513	ENSMUST00000056136.3	16336	ENSMUSG00000044708	Kcnj10	potassium inwardly-rectifying channel, subfamily J, member 10
chr7	104287999	104288399	401	*	Promoter	7	104263386	104288094	24709	2	667823	ENSMUST00000098179.8	0	ENSMUSG00000060441	Trim5	tripartite motif-containing 5
chr12	104230840	104231240	401	*	Distal Intergenic	12	104236245	104238259	2015	1	20715	ENSMUST00000171065.7	-5005	ENSMUSG00000041481	Serpina3g	serine (or cysteine) peptidase inhibitor, clade A, member 3G
chr4	124847593	124847993	401	*	3' UTR	4	124849546	124850473	928	2	68920	ENSMUST00000137769.2	2480	ENSMUSG00000078570	1110065P20Rik	RIKEN cDNA 1110065P20 gene
chr9	104035271	104035671	401	*	Promoter	9	104035848	104038512	2665	1	74025	ENSMUST00000194183.1	-177	ENSMUSG00000032558	Nphp3	nephronophthisis 3 (adolescent)
chr16	11066068	11066468	401	*	Promoter	16	11066330	11074985	8656	1	20621	ENSMUST00000089011.5	0	ENSMUSG00000037972	Snn	stannin
chr7	4323309	4323709	401	*	Distal Intergenic	7	4337724	4345164	7441	1	17086	ENSMUST00000006792.5	-14015	ENSMUSG00000062524	Ncr1	natural cytotoxicity triggering receptor 1
chr18	70420324	70420724	401	*	Distal Intergenic	18	70452212	70464150	11939	2	269033	ENSMUST00000213066.1	43426	ENSMUSG00000044906	4930503L19Rik	RIKEN cDNA 4930503L19 gene
chr3	40745196	40745596	401	*	Promoter	3	40745382	40781598	36217	1	18415	ENSMUST00000203353.2	0	ENSMUSG00000025757	Hspa4l	heat shock protein 4 like
chr3	19311145	19311545	401	*	Promoter	3	19223108	19311322	88215	2	18583	ENSMUST00000099195.9	0	ENSMUSG00000069094	Pde7a	phosphodiesterase 7A
chr18	61400215	61400615	401	*	Promoter	18	61298136	61400431	102296	2	170826	ENSMUST00000075299.12	0	ENSMUSG00000033871	Ppargc1b	peroxisome proliferative activated receptor, gamma, coactivator 1 beta
chr5	135835168	135835568	401	*	Exon (ENSMUST00000146038.1/58212, exon 2 of 3)	5	135818106	135874772	56667	1	58212	ENSMUST00000144211.1	17063	ENSMUSG00000039860	Srrm3	serine/arginine repetitive matrix 3
chr14	40966968	40967368	401	*	Promoter	14	40906445	40966807	60363	2	52588	ENSMUST00000047652.5	-162	ENSMUSG00000037824	Tspan14	tetraspanin 14
chr16	27457265	27457665	401	*	Distal Intergenic	16	27389936	27438349	48414	1	67501	ENSMUST00000143823.1	67330	ENSMUSG00000038127	Ccdc50	coiled-coil domain containing 50
chr14	76504286	76504686	401	*	Promoter	14	76504478	76507765	3288	1	21807	ENSMUST00000022587.9	0	ENSMUSG00000022010	Tsc22d1	TSC22 domain family, member 1
chr12	8313179	8313579	401	*	Promoter	12	8313432	8323998	10567	1	58240	ENSMUST00000220199.1	0	ENSMUSG00000020605	Hs1bp3	HCLS1 binding protein 3
chr14	115040696	115041096	401	*	Distal Intergenic	14	115043671	115043754	84	1	723905	ENSMUST00000083574.1	-2575	ENSMUSG00000065508	Mir17	microRNA 17
chr3	130709457	130709857	401	*	Promoter	3	130695912	130709444	13533	2	66357	ENSMUST00000043937.8	-14	ENSMUSG00000041084	Ostc	oligosaccharyltransferase complex subunit (non-catalytic)
chr5	135015468	135015868	401	*	Distal Intergenic	5	135012114	135013253	1140	2	69812	ENSMUST00000136022.7	-2216	ENSMUSG00000085042	Abhd11os	abhydrolase domain containing 11, opposite strand
chr2	155692182	155692582	401	*	Promoter	2	155634271	155692384	58114	2	56407	ENSMUST00000041059.11	0	ENSMUSG00000038324	Trpc4ap	transient receptor potential cation channel, subfamily C, member 4 associated protein
chr11	101171267	101171667	401	*	Promoter	11	101162679	101171351	8673	2	217198	ENSMUST00000043397.13	0	ENSMUSG00000035172	Plekhh3	pleckstrin homology domain containing, family H (with MyTH4 domain) member 3
chr10	79793352	79793752	401	*	Promoter	10	79793572	79820896	27325	1	18483	ENSMUST00000046945.12	0	ENSMUSG00000035863	Palm	paralemmin
chr3	100422374	100422774	401	*	Distal Intergenic	3	100426405	100428865	2461	1	73806	ENSMUST00000147951.1	-3631	ENSMUSG00000086923	4930406D18Rik	RIKEN cDNA 4930406D18 gene
chr2	29619467	29619867	401	*	Promoter	2	29619720	29740353	120634	1	107746	ENSMUST00000095087.10	0	ENSMUSG00000039844	Rapgef1	Rap guanine nucleotide exchange factor (GEF) 1
chr1	92895069	92895469	401	*	Intron (ENSMUST00000112998.1/241158, intron 4 of 17)	1	92870129	92902906	32778	2	241158	ENSMUST00000112998.1	7437	ENSMUSG00000034212	Ankmy1	ankyrin repeat and MYND domain containing 1
chr1	58677584	58677984	401	*	Intron (ENSMUST00000188772.6/108812, intron 6 of 12)	1	58676196	58691050	14855	2	108812	ENSMUST00000188839.1	13066	ENSMUSG00000047528	Flacc1	flagellum associated containing coiled-coil domains 1
chr10	67096168	67096568	401	*	Promoter	10	67096405	67158243	61839	1	108829	ENSMUST00000173295.1	0	ENSMUSG00000037876	Jmjd1c	jumonji domain containing 1C
chr17	87107178	87107578	401	*	Promoter	17	87107679	87137839	30161	1	56468	ENSMUST00000041369.7	-101	ENSMUSG00000037104	Socs5	suppressor of cytokine signaling 5
chr17	86161902	86162302	401	*	Distal Intergenic	17	86167785	86657919	490135	1	18754	ENSMUST00000097275.8	-5483	ENSMUSG00000045038	Prkce	protein kinase C, epsilon
chr2	173021721	173022121	401	*	Promoter	2	173021899	173033913	12015	1	56190	ENSMUST00000173878.7	0	ENSMUSG00000027510	Rbm38	RNA binding motif protein 38
chr6	115823803	115824203	401	*	Intron (ENSMUST00000032468.11/212516, intron 1 of 8)	6	115810729	115838412	27684	2	212516	ENSMUST00000032468.11	14209	ENSMUSG00000030321	Efcab12	EF-hand calcium binding domain 12
chr10	91195074	91195474	401	*	Distal Intergenic	10	91164046	91181315	17270	2	21917	ENSMUST00000216402.1	-13760	ENSMUSG00000019961	Tmpo	thymopoietin
chr11	51857749	51858149	401	*	Promoter	11	51813455	51857653	44199	2	76901	ENSMUST00000109090.7	-97	ENSMUSG00000020387	Jade2	jade family PHD finger 2
chr8	53638882	53639282	401	*	Promoter	8	53586867	53639065	52199	2	234258	ENSMUST00000047768.10	0	ENSMUSG00000039396	Neil3	nei like 3 (E. coli)
chr17	26753427	26753827	401	*	Intron (ENSMUST00000062519.13/77128, intron 4 of 8)	17	26757702	26759919	2218	1	77128	ENSMUST00000176845.1	-3875	ENSMUSG00000048249	Crebrf	CREB3 regulatory factor
chr9	110645251	110645651	401	*	Promoter	9	110638318	110645368	7051	2	235627	ENSMUST00000149089.1	0	ENSMUSG00000056724	Nbeal2	neurobeachin-like 2
chr13	55339277	55339677	401	*	Distal Intergenic	13	55346593	55348656	2064	2	66890	ENSMUST00000224517.1	8979	ENSMUSG00000021484	Lman2	lectin, mannose-binding 2
chr15	102136099	102136499	401	*	Promoter	15	102116528	102136192	19665	2	223918	ENSMUST00000139279.7	0	ENSMUSG00000036966	Spryd3	SPRY domain containing 3
chr3	130075734	130076134	401	*	Distal Intergenic	3	130041256	130061553	20298	2	99683	ENSMUST00000168675.1	-14182	ENSMUSG00000001052	Sec24b	Sec24 related gene family, member B (S. cerevisiae)
chr2	38511645	38512045	401	*	Promoter	2	38511668	38587480	75813	1	59126	ENSMUST00000112902.7	0	ENSMUSG00000026749	Nek6	NIMA (never in mitosis gene a)-related expressed kinase 6
chr8	105930622	105931022	401	*	3' UTR	8	105932574	105933455	882	2	109660	ENSMUST00000212561.1	2433	ENSMUSG00000031896	Ctrl	chymotrypsin-like
chr12	81781089	81781489	401	*	Promoter	12	81721010	81781175	60166	2	338372	ENSMUST00000035987.8	0	ENSMUSG00000042724	Map3k9	mitogen-activated protein kinase kinase kinase 9
chr12	24564544	24564944	401	*	Distal Intergenic	12	24572283	24617388	45106	1	195733	ENSMUST00000085553.12	-7339	ENSMUSG00000020656	Grhl1	grainyhead like transcription factor 1
chr8	121751423	121751823	401	*	Intron (ENSMUST00000127664.1/108148, intron 1 of 15)	8	121753476	121782570	29095	1	57340	ENSMUST00000172209.1	-1653	ENSMUSG00000025318	Jph3	junctophilin 3
chr18	76378707	76379107	401	*	Distal Intergenic	18	76262492	76302642	40151	1	17126	ENSMUST00000113930.2	116216	ENSMUSG00000024563	Smad2	SMAD family member 2
chr5	33270568	33270968	401	*	Promoter	5	33259301	33269636	10336	2	13016	ENSMUST00000202820.3	-933	ENSMUSG00000037373	Ctbp1	C-terminal binding protein 1
chr18	74910858	74911258	401	*	Distal Intergenic	18	74944876	74961262	16387	2	16891	ENSMUST00000235783.1	50004	ENSMUSG00000053846	Lipg	lipase, endothelial
chr1	189687990	189688390	401	*	Promoter	1	189640606	189688086	47481	2	108000	ENSMUST00000171929.7	0	ENSMUSG00000026605	Cenpf	centromere protein F
chr15	44618858	44619258	401	*	Promoter	15	44619175	44641515	22341	1	55960	ENSMUST00000227691.1	0	ENSMUSG00000022339	Ebag9	estrogen receptor-binding fragment-associated gene 9
chr19	9110217	9110617	401	*	3' UTR	19	9083636	9087958	4323	2	22287	ENSMUST00000025554.2	-22260	ENSMUSG00000024653	Scgb1a1	secretoglobin, family 1A, member 1 (uteroglobin)
chr7	97332007	97332407	401	*	Promoter	7	97309380	97332020	22641	2	244144	ENSMUST00000139582.8	0	ENSMUSG00000035713	Usp35	ubiquitin specific peptidase 35
chr6	30690042	30690442	401	*	Intron (ENSMUST00000031810.14/83922, intron 1 of 10)	6	30660982	30693088	32107	2	83922	ENSMUST00000140252.3	2646	ENSMUSG00000029790	Cep41	centrosomal protein 41
chr7	19749593	19749993	401	*	Promoter	7	19716644	19749573	32930	2	19294	ENSMUST00000075447.13	-21	ENSMUSG00000062300	Nectin2	nectin cell adhesion molecule 2
chr2	30435770	30436170	401	*	Intron (ENSMUST00000042055.9/110854, intron 5 of 9)	2	30438229	30446950	8722	1	110854	ENSMUST00000125561.6	-2059	ENSMUSG00000039515	Ptpa	protein phosphatase 2 protein activator
chr1	166002610	166003010	401	*	Promoter	1	165865154	166002678	137525	2	18986	ENSMUST00000160260.8	0	ENSMUSG00000026565	Pou2f1	POU domain, class 2, transcription factor 1
chr6	90825077	90825477	401	*	Intron (ENSMUST00000212100.1/232227, intron 2 of 15)	6	90659598	90810123	150526	2	232227	ENSMUST00000101151.9	-14955	ENSMUSG00000034312	Iqsec1	IQ motif and Sec7 domain 1
chr5	34949083	34949483	401	*	Promoter	5	34949445	35033595	84151	1	71729	ENSMUST00000030984.13	0	ENSMUSG00000029101	Rgs12	regulator of G-protein signaling 12
chr9	40617747	40618147	401	*	Distal Intergenic	9	40685962	40761060	75099	1	71566	ENSMUST00000139577.1	-67815	ENSMUSG00000032024	Clmp	CXADR-like membrane protein
chr11	78856279	78856679	401	*	Distal Intergenic	11	78826629	78839275	12647	1	66274	ENSMUST00000100748.4	29651	ENSMUSG00000072640	Lyrm9	LYR motif containing 9
chr5	139325399	139325799	401	*	Promoter	5	139271876	139325622	53747	2	231821	ENSMUST00000110865.1	0	ENSMUSG00000056413	Adap1	ArfGAP with dual PH domains 1
chr6	124756549	124756949	401	*	Promoter	6	124742544	124756524	13981	2	13498	ENSMUST00000088357.11	-26	ENSMUSG00000004263	Atn1	atrophin 1
chr11	77215951	77216351	401	*	Promoter	11	77216287	77393153	176867	1	237860	ENSMUST00000156488.7	0	ENSMUSG00000037926	Ssh2	slingshot protein phosphatase 2
chr6	108166042	108166442	401	*	Intron (ENSMUST00000032191.15/58911, intron 3 of 8)	6	108144313	108152286	7974	2	58911	ENSMUST00000171697.1	-13757	ENSMUSG00000030101	Sumf1	sulfatase modifying factor 1
chr15	99400629	99401029	401	*	Promoter	15	99401085	99402102	1018	1	110213	ENSMUST00000162274.1	-56	ENSMUSG00000023010	Tmbim6	transmembrane BAX inhibitor motif containing 6
chr9	107635315	107635715	401	*	Promoter	9	107614125	107635367	21243	2	14678	ENSMUST00000055704.11	0	ENSMUSG00000032562	Gnai2	guanine nucleotide binding protein (G protein), alpha inhibiting 2
chr10	7780814	7781214	401	*	Promoter	10	7767947	7780917	12971	2	215751	ENSMUST00000039763.13	0	ENSMUSG00000040006	Ginm1	glycoprotein integral membrane 1
chr18	37751361	37751761	401	*	Promoter	18	37751600	37841873	90274	1	93704	ENSMUST00000194928.1	0	ENSMUSG00000104063	Pcdhgb7	protocadherin gamma subfamily B, 7
chr15	78802718	78803118	401	*	Promoter	15	78775138	78803042	27905	2	105844	ENSMUST00000164826.7	0	ENSMUSG00000033170	Card10	caspase recruitment domain family, member 10
chr7	113039227	113039627	401	*	Distal Intergenic	7	112953962	112957457	3496	1	78748	ENSMUST00000182858.1	85266	ENSMUSG00000098132	Rassf10	Ras association (RalGDS/AF-6) domain family (N-terminal) member 10
chr15	78354975	78355375	401	*	Distal Intergenic	15	78348599	78348660	62	1	102465776	ENSMUST00000183523.1	6377	ENSMUSG00000098996	Mir7676-1	microRNA 7676-1
chr4	83324055	83324455	401	*	Promoter	4	83220300	83324255	103956	2	69863	ENSMUST00000102823.9	0	ENSMUSG00000038172	Ttc39b	tetratricopeptide repeat domain 39B
chr15	76925443	76925843	401	*	Promoter	15	76910371	76925448	15078	2	239546	ENSMUST00000229055.1	0	ENSMUSG00000054967	Zfp647	zinc finger protein 647
chr18	35093916	35094316	401	*	Intron (ENSMUST00000237091.1/ENSMUST00000237091.1, intron 3 of 3)	18	35118859	35254779	135921	1	12385	ENSMUST00000042345.7	-24543	ENSMUSG00000037815	Ctnna1	catenin (cadherin associated protein), alpha 1
chr2	32535034	32535434	401	*	Promoter	2	32535332	32569750	34419	1	98952	ENSMUST00000136816.7	0	ENSMUSG00000039157	Fam102a	family with sequence similarity 102, member A
chr6	24350870	24351270	401	*	Distal Intergenic	6	24444865	24515067	70203	2	214704	ENSMUST00000052277.4	163797	ENSMUSG00000046192	Iqub	IQ motif and ubiquitin domain containing
chr17	28313210	28313610	401	*	Promoter	17	28313519	28326572	13054	1	72775	ENSMUST00000114803.8	0	ENSMUSG00000007570	Fance	Fanconi anemia, complementation group E
chr5	36958825	36959225	401	*	Distal Intergenic	5	36968501	36976956	8456	2	22393	ENSMUST00000167937.1	17731	ENSMUSG00000039474	Wfs1	wolframin ER transmembrane glycoprotein
chr6	40435984	40436384	401	*	Promoter	6	40401375	40436135	34761	2	243780	ENSMUST00000101492.9	0	ENSMUSG00000037172	Dennd11	DENN domain containing 11
chr19	11818621	11819021	401	*	Promoter	19	11775118	11818811	43694	2	20908	ENSMUST00000075304.13	0	ENSMUSG00000041488	Stx3	syntaxin 3
chr2	167605165	167605565	401	*	Intron (ENSMUST00000127006.1/ENSMUST00000127006.1, intron 3 of 3)	2	167608946	167610648	1703	2	66589	ENSMUST00000144628.1	5083	ENSMUSG00000078923	Ube2v1	ubiquitin-conjugating enzyme E2 variant 1
chr7	45370477	45370877	401	*	Promoter	7	45367891	45370583	2693	2	22342	ENSMUST00000003971.9	0	ENSMUSG00000003872	Lin7b	lin-7 homolog B (C. elegans)
chr7	16295409	16295809	401	*	Distal Intergenic	7	16282755	16286795	4041	2	243846	ENSMUST00000146609.2	-8615	ENSMUSG00000041375	Ccdc9	coiled-coil domain containing 9
chr7	58749918	58750318	401	*	Intron (ENSMUST00000168747.2/11982, intron 2 of 20)	7	58658246	58829420	171175	1	11982	ENSMUST00000168747.2	91673	ENSMUSG00000025324	Atp10a	ATPase, class V, type 10A
chr5	150118348	150118748	401	*	Promoter	5	150118645	150340445	221801	1	320365	ENSMUST00000200960.3	0	ENSMUSG00000056602	Fry	FRY microtubule binding protein
chr6	124736973	124737373	401	*	Exon (ENSMUST00000174861.1/ENSMUST00000174861.1, exon 2 of 2)	6	124721108	124738584	17477	2	15170	ENSMUST00000174265.1	1211	ENSMUSG00000004266	Ptpn6	protein tyrosine phosphatase, non-receptor type 6
chr1	161962969	161963369	401	*	Intron (ENSMUST00000162676.1/75368, intron 3 of 6)	1	161942091	161969148	27058	2	75368	ENSMUST00000141397.1	5779	ENSMUSG00000086277	4930558K02Rik	RIKEN cDNA 4930558K02 gene
chr10	8156023	8156423	401	*	Distal Intergenic	10	8204756	8302242	97487	2	338362	ENSMUST00000219116.1	145819	ENSMUSG00000047712	Ust	uronyl-2-sulfotransferase
chr11	120776052	120776452	401	*	Distal Intergenic	11	120780746	120784185	3440	2	19719	ENSMUST00000123273.1	7733	ENSMUSG00000025158	Rfng	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
chr5	112240758	112241158	401	*	Distal Intergenic	5	112246494	112251162	4669	2	12959	ENSMUST00000112383.7	10004	ENSMUSG00000066975	Cryba4	crystallin, beta A4
chr11	106999460	106999860	401	*	Promoter	11	106988629	106999541	10913	2	16647	ENSMUST00000018506.12	0	ENSMUSG00000018362	Kpna2	karyopherin (importin) alpha 2
chr19	5337974	5338374	401	*	Intron (ENSMUST00000043380.4/225865, intron 2 of 11)	19	5336198	5344202	8005	1	225865	ENSMUST00000235380.1	1777	ENSMUSG00000038498	Catsper1	cation channel, sperm associated 1
chr12	25054545	25054945	401	*	Promoter	12	25053992	25063144	9153	1	77480	ENSMUST00000222481.1	554	ENSMUSG00000036333	Kidins220	kinase D-interacting substrate 220
chr3	127320284	127320684	401	*	Intron (ENSMUST00000182078.8/109676, intron 2 of 45)	3	127079945	127408954	329010	2	109676	ENSMUST00000183095.2	88270	ENSMUSG00000032826	Ank2	ankyrin 2, brain
chr6	146409861	146410261	401	*	Intron (ENSMUST00000079573.12/16439, intron 8 of 55)	6	146357700	146396986	39287	2	16439	ENSMUST00000131890.5	-12876	ENSMUSG00000030287	Itpr2	inositol 1,4,5-triphosphate receptor 2
chr2	120478601	120479001	401	*	Intron (ENSMUST00000124129.7/12335, intron 4 of 24)	2	120476976	120504913	27938	1	12335	ENSMUST00000110719.2	1626	ENSMUSG00000079110	Capn3	calpain 3
chr12	113098014	113098414	401	*	Promoter	12	113098278	113137205	38928	1	116870	ENSMUST00000109727.8	0	ENSMUSG00000021144	Mta1	metastasis associated 1
chr4	147940679	147941079	401	*	Promoter	4	147940895	147947314	6420	1	77034	ENSMUST00000103232.1	0	ENSMUSG00000044496	2510039O18Rik	RIKEN cDNA 2510039O18 gene
chr7	68369654	68370054	401	*	Distal Intergenic	7	68331124	68353725	22602	1	434197	ENSMUST00000153458.2	38531	ENSMUSG00000074071	Fam169b	family with sequence similarity 169, member B
chr8	105264433	105264833	401	*	Promoter	8	105264648	105269326	4679	1	50788	ENSMUST00000036221.11	0	ENSMUSG00000033313	Fbxl8	F-box and leucine-rich repeat protein 8
chr7	12880906	12881306	401	*	Promoter	7	12881177	12891841	10665	1	243833	ENSMUST00000081891.6	0	ENSMUSG00000060397	Zfp128	zinc finger protein 128
chr12	110601192	110601592	401	*	Promoter	12	110601452	110666945	65494	1	13424	ENSMUST00000018851.13	0	ENSMUSG00000018707	Dync1h1	dynein cytoplasmic 1 heavy chain 1
chr15	36505473	36505873	401	*	Intron (ENSMUST00000013755.11/66696, intron 13 of 13)	15	36477668	36496820	19153	2	68839	ENSMUST00000057486.8	-8654	ENSMUSG00000048307	Ankrd46	ankyrin repeat domain 46
chr12	85142795	85143195	401	*	Intron (ENSMUST00000221972.1/238323, intron 4 of 10)	12	85135634	85139989	4356	2	238323	ENSMUST00000222232.1	-2807	ENSMUSG00000019235	Rps6kl1	ribosomal protein S6 kinase-like 1
chr8	57503628	57504028	401	*	Intron (ENSMUST00000180690.1/78353, intron 2 of 2)	8	57505815	57506731	917	1	78353	ENSMUST00000210752.1	-1787	ENSMUSG00000096917	2500002B13Rik	RIKEN cDNA 2500002B13 gene
chr13	44292463	44292863	401	*	Distal Intergenic	13	44193589	44216487	22899	2	100503592	ENSMUST00000223513.1	-75977	ENSMUSG00000113186	A330076C08Rik	RIKEN cDNA A330076C08 gene
chr3	104220320	104220720	401	*	Promoter	3	104013259	104220374	207116	2	99470	ENSMUST00000064371.13	0	ENSMUSG00000052539	Magi3	membrane associated guanylate kinase, WW and PDZ domain containing 3
chr1	37307601	37308001	401	*	Intron (ENSMUST00000146676.1/269180, intron 1 of 1)	1	37300308	37408733	108426	1	269180	ENSMUST00000136846.7	7294	ENSMUSG00000026113	Inpp4a	inositol polyphosphate-4-phosphatase, type I
chr7	104315322	104315722	401	*	Promoter	7	104299897	104315455	15559	2	76681	ENSMUST00000106837.7	0	ENSMUSG00000066258	Trim12a	tripartite motif-containing 12A
chr16	10958276	10958676	401	*	Downstream (<1kb)	16	10960824	10975579	14756	2	56722	ENSMUST00000117360.7	16903	ENSMUSG00000022500	Litaf	LPS-induced TN factor
chr8	71381847	71382247	401	*	Promoter	8	71374123	71381906	7784	2	13864	ENSMUST00000132630.1	0	ENSMUSG00000002393	Nr2f6	nuclear receptor subfamily 2, group F, member 6
chr10	20148773	20149173	401	*	Promoter	10	20148984	20281590	132607	1	17761	ENSMUST00000116259.4	0	ENSMUSG00000019996	Map7	microtubule-associated protein 7
